"X","F"
-1.0,3.0
-0.9,2.43
-0.81,1.9683000000000004
-0.7290000000000001,1.5943230000000006
-0.6561000000000001,1.2914016300000004
-0.5904900000000002,1.0460353203000006
-0.5314410000000002,0.8472886094430006
-0.47829690000000014,0.6863037736488303
-0.43046721000000016,0.5559060566555527
-0.38742048900000015,0.4502839058909977
-0.34867844010000015,0.3647299637717082
-0.31381059609000017,0.2954312706550837
-0.28242953648100017,0.2392993292306178
-0.25418658283290013,0.1938324566768004
-0.22876792454961012,0.1570042899082083
-0.2058911320946491,0.12717347482564872
-0.1853020188851842,0.10301051460877547
-0.16677181699666577,0.08343851683310813
-0.15009463529699918,0.06758519863481757
-0.13508517176729926,0.05474401089420223
-0.12157665459056934,0.04434264882430381
