'p1','p2','p3'
0,0.058492740628071,0.941507259371929
0.000143651140416,0.058,0.941856348859584
0.000437829406364,0.057,0.942562170593636
0.000734671202081,0.056,0.943265328797919
0.001,0.055114259268482,0.943885740731518
0.00104307166778,0.055,0.94395692833222
0.001423539171489,0.054,0.944576460828511
0.001807504584401,0.053,0.945192495415598
0.002,0.052503320698906,0.945496679301094
0.002216142671552,0.052,0.945783857328448
0.002649623069865,0.051,0.946350376930135
0.003,0.050199276017266,0.946800723982734
0.003093775592605,0.05,0.946906224407395
0.003568898060599,0.049,0.947431101939401
0.004,0.048101260554981,0.94789873944502
0.004051457592511,0.048,0.947948542407488
0.004564634354207,0.047,0.948435365645793
0.005,0.046159835807506,0.948840164192494
0.005086940413243,0.046,0.948913059586756
0.00563633500166,0.045,0.94936366499834
0.006,0.044344628782738,0.949655371217262
0.00619947342103,0.044,0.94980052657897
0.006784186730901,0.043,0.950215813269098
0.007,0.042634679169591,0.950365320830409
0.007389291131879,0.042,0.950610708868121
0.008,0.041014550857409,0.950985449142591
0.008009329842283,0.041,0.950990670157717
0.008657358268857,0.04,0.951342641731143
0.009,0.039476833372829,0.951523166627171
0.009322206645326,0.039,0.951677793354674
0.01,0.038007667558525,0.951992332441475
0.010005391087314,0.038,0.951994608912686
0.010716303713706,0.037,0.952283696286294
0.011,0.036605342790115,0.952394657209885
0.01144708332125,0.036,0.95255291667875
0.012,0.035259751652037,0.952740248347963
0.012199020994148,0.035,0.952800979005852
0.012974059760271,0.034,0.953025940239729
0.013,0.0339669211176,0.9530330788824
0.013776734785163,0.033,0.953223265214837
0.014,0.032725347649754,0.953274652350246
0.014603288318128,0.032,0.953396711681872
0.015,0.031528759709024,0.953471240290976
0.015454965016782,0.031,0.953545034983218
0.016,0.030374327335981,0.953625672664019
0.016332977048265,0.03,0.953667022951735
0.017,0.029259525010318,0.953740474989682
0.017238526839929,0.029,0.953761473160071
0.018,0.028182078092453,0.953817921907547
0.018172825148618,0.028,0.953827174851383
0.019,0.027139920600252,0.953860079399748
0.019137106171148,0.027,0.953862893828852
0.02,0.026131161292913,0.953868838707087
0.020132640871178,0.026,0.953867359128822
0.021,0.02515405591906,0.95384594408094
0.021160749369526,0.025,0.953839250630474
0.022,0.024206984071103,0.953793015928897
0.022222813050959,0.024,0.953777186949041
0.023,0.023288429480022,0.953711570519978
0.023320286933281,0.023,0.95367971306672
0.024,0.02239696284813,0.95360303715187
0.024454712798438,0.022,0.953545287201562
0.025,0.021531226491096,0.953468773508904
0.0256277335872,0.021,0.9533722664128
0.026,0.020689920167785,0.953310079832215
0.026841109604207,0.02,0.953158890395793
0.027,0.019871787530044,0.953128212469956
0.028,0.019076921812581,0.952923078187419
0.028098212780906,0.019,0.952901787219094
0.029,0.018305585929803,0.952694414070197
0.029402603354189,0.018,0.952597396645811
0.03,0.017554471762381,0.952445528237619
0.030754056190326,0.017,0.952245943809674
0.031,0.016822433106302,0.952177566893698
0.032,0.016110430022413,0.951889569977587
0.032157238163784,0.016,0.951842761836216
0.033,0.015419314775777,0.951580685224223
0.033616766142464,0.015,0.951383233857536
0.034,0.014744607745825,0.951255392254175
0.035,0.014086941860379,0.950913058139621
0.035133939644433,0.014,0.950866060355567
0.036,0.01344950035296,0.95055049964704
0.036716256410898,0.013,0.950283743589102
0.037,0.012825825854875,0.950174174145126
0.038,0.012219725863676,0.949780274136324
0.038367084664509,0.012,0.949632915335491
0.039,0.011629928346887,0.949370071653113
0.04,0.011052351497761,0.948947648502239
0.040091759876227,0.011,0.948908240123773
0.041,0.010494597885346,0.948505402114654
0.041899501263419,0.01,0.948100498736581
0.042,0.009946199260691,0.948053800739309
0.043,0.009417255447642,0.947582744552358
0.043798123579141,0.009,0.947201876420859
0.044,0.008897470334926,0.947102529665074
0.045,0.008395516940223,0.946604483059777
0.045797042609331,0.008,0.946202957390669
0.046,0.00790242019428,0.94609757980572
0.047,0.007427140542616,0.945572859457384
0.047908868345202,0.007,0.945091131654798
0.048,0.006958643183196,0.945041356816803
0.049,0.006509955038111,0.944490044961889
0.05,0.006066189871572,0.943933810128428
0.050150828596549,0.006,0.943849171403451
0.051,0.005641741548671,0.943358258451329
0.052,0.005224427771285,0.942775572228715
0.052543686537226,0.005,0.942456313462774
0.053,0.004820001051729,0.942179998948271
0.054,0.004429798488214,0.941570201511786
0.055,0.004043732433912,0.940956267566088
0.055114506313165,0.004,0.940885493686836
0.056,0.00367966463247,0.94032033536753
0.057,0.003321708284391,0.939678291715609
0.057908219695493,0.003,0.939091780304507
0.058,0.002969645263273,0.939030354736727
0.059,0.00264241060014,0.93835758939986
0.06,0.002318556605527,0.937681443394473
0.060993855862592,0.002,0.937006144137408
0.061,0.001998213156509,0.937001786843491
0.062,0.001710430242812,0.936289569757188
0.063,0.001425585601014,0.935574414398987
0.064,0.001143635553154,0.934856364446846
0.064514689873385,0.001,0.934485310126615
0.065,0.000891274661579,0.934108725338421
0.066,0.000669532739002,0.933330467260998
0.067,0.000450031970199,0.932549968029802
0.068,0.000232741246,0.931767258754
0.069,1.76303874910221E-05,0.930982369612509
0.069082798834146,0,0.930917201165854
0.469625359609778,0,0.530374640390222
0.47,5.66199376700597E-05,0.52994338006233
0.471,0.000208433686733,0.528791566313267
0.472,0.000360958076032,0.527639041923968
0.473,0.000514193843714,0.526485806156286
0.474,0.000668141737517,0.525331858262483
0.475,0.00082280251481,0.52417719748519
0.476,0.000978176942626,0.523021823057374
0.476139847421537,0.001,0.522860152578463
0.477,0.001171105347451,0.521828894652549
0.478,0.001370963486817,0.520629036513183
0.479,0.001571767254026,0.519428232745974
0.48,0.00177351803691,0.51822648196309
0.481,0.001976217238288,0.517023782761712
0.481116822584874,0.002,0.516883177415126
0.482,0.002200743685819,0.515799256314181
0.483,0.002429111806404,0.514570888193596
0.484,0.002658564142004,0.513341435857996
0.485,0.002889102560732,0.512110897439268
0.485478885107731,0.003,0.511521114892269
0.486,0.003130611235105,0.510869388764895
0.487,0.003382390441928,0.509617609558072
0.488,0.003635369302337,0.508364630697663
0.489,0.003889550131438,0.507110449868562
0.489432599689657,0.004,0.506567400310343
0.49,0.004154368226617,0.505845631773383
0.491,0.004427673671507,0.504572326328493
0.492,0.004702284432735,0.503297715567265
0.493,0.004978203277697,0.502021796722304
0.493078660280019,0.005,0.501921339719981
0.494,0.005269466570226,0.500730533429774
0.495,0.005563329691099,0.499436670308901
0.496,0.005858598996289,0.498141401003711
0.496476748741787,0.006,0.497523251258213
0.497,0.006162740687624,0.496837259312376
0.498,0.006475171973245,0.495524828026755
0.499,0.006789104528786,0.494210895471215
0.499668708193205,0.007,0.493331291806795
0.5,0.007109045911302,0.492890954088698
0.501,0.007439658205981,0.491560341794019
0.502,0.00777186549795,0.49022813450205
0.502683564482976,0.008,0.489316435517024
0.503,0.008109825010826,0.488890174989175
0.504,0.008458428452686,0.487541571547314
0.505,0.008808720407797,0.486191279592203
0.505543588638126,0.009,0.485456411361874
0.506,0.00916654418031,0.48483345581969
0.507,0.009533090048435,0.483466909951565
0.508,0.009901418596452,0.482098581403548
0.50826648252786,0.01,0.48173351747214
0.509,0.010280749894725,0.480719250105275
0.51,0.010665296697015,0.479334703302986
0.510866233746151,0.011,0.478133766253849
0.511,0.011053373724159,0.477946626275841
0.512,0.011454096366217,0.476545903633783
0.513,0.011856788335576,0.475143211664424
0.513354064922986,0.012,0.474645935077015
0.514,0.01226937618906,0.47373062381094
0.515,0.012688360596616,0.472311639403384
0.515740287358483,0.013,0.471259712641517
0.516,0.013112572648458,0.470887427351542
0.517,0.013547930794838,0.469452069205162
0.518,0.013985452185123,0.468014547814877
0.518033111365087,0.014,0.467966888634913
0.519,0.014436911003303,0.466563088996697
0.52,0.01489103201986,0.46510896798014
0.520238908265038,0.015,0.464761091734962
0.521,0.015356669448982,0.463643330551018
0.522,0.015827563918744,0.462172436081256
0.522364550321745,0.016,0.461635449678255
0.523,0.016308556550402,0.460691443449598
0.524,0.016796436789185,0.459203563210815
0.524415348584887,0.017,0.458584651415113
0.525,0.01729392431813,0.45770607568187
0.526,0.017799038205072,0.456200961794928
0.526396050147432,0.018,0.455603949852568
0.527,0.018314141414429,0.454685858585571
0.528,0.01883677034194,0.45316322965806
0.528310926269744,0.019,0.452689073730256
0.529,0.019370605336293,0.451629394663707
0.53,0.01991106283591,0.45008893716409
0.530163842566731,0.02,0.449836157433268
0.531,0.020464752685577,0.448535247314423
0.531958180610524,0.021,0.447041819389476
0.532,0.021023908320903,0.446976091679097
0.533,0.021598068179962,0.445401931820038
0.533696585713961,0.022,0.444303414286039
0.534,0.022179101676154,0.443820898323846
0.535,0.022772092861879,0.442227907138121
