p1,p2,p3
0.987385981253236,0.012,0.0006140187467640439
0.9878331391630544,0.011,0.0011668608369456261
0.988,0.010542665433995405,0.0014573345660046054
0.9881979678982884,0.01,0.0018020321017116012
0.9885163477876829,0.009,0.0024836522123170644
0.9887945396971451,0.008,0.0032054603028548526
0.989,0.007120467395083425,0.0038795326049165845
0.9890281371694026,0.007,0.003971862830597367
0.9892109025468269,0.006,0.004789097453173135
0.9893465249575015,0.005,0.0056534750424984724
0.9894281825644804,0.004,0.006571817435519604
0.9894461522224033,0.003,0.007553847777596714
0.9893841506973405,0.002,0.008615849302659464
0.9892082000269233,0.001,0.009791799973076665
0.989,0.000529104730996473,0.010470895269003537
0.9887579655541998,0.0,0.011242034445800186
