k,gm,gm_e,nm,nm_e
28,0.01534745269679215,3.5486285836690317,0.00029120696451995996,0.27196007434613206
29,0.013972772217260336,3.329154797598427,0.00022014248962297147,0.2599628482826679
30,0.012734567802066814,3.1232549152589253,0.00016776568259684963,0.2487423267671798
31,0.011617460015947623,2.930089424717006,0.0001286296369443303,0.2382328830302294
32,0.010608059267805165,2.7488707357486653,9.900160616698223e-5,0.2283756780000902
33,0.009694671688127082,2.5788599686117797,7.634906947689912e-5,0.21911783495245488
34,0.008867053953940007,2.419363941424862,5.892838550014441e-5,0.21041172891559237
35,0.008116208011701,2.269732343868881,4.549552207773998e-5,0.20221437295188602
36,0.007434208496673518,2.1293550856885495,3.512596985761326e-5,0.19448688651050888
37,0.006814057077805215,1.9976598091821618,2.711299713575181e-5,0.18719403354366163
38,0.00624955907485342,1.8741095555377012,2.0911616434703765e-5,0.18030382011691484
39,0.005735218575098116,1.7582005755002115,1.6104003011412893e-5,0.1737871429140922
40,0.005266148975771448,1.6494602754439074,1.2373049232243457e-5,0.16761748141067415
41,0.004837996436383904,1.5474452904745755,9.479248082515085e-6,0.1617706276237453
42,0.004446874173302122,1.451739676705767,7.240605071917472e-6,0.15622444828619128
43,0.004089305890687736,1.3619532153381755,5.516520847585826e-6,0.15095867507420122
44,0.003762176935241881,1.2777198216274566,4.19610202932738e-6,0.14595471916901287
45,0.003462692001053314,1.198696052253403,3.1904570826870853e-6,0.14119550697945046
46,0.0031883384060922464,1.1245597050045923,2.4279336031036913e-6,0.1366653343099141
47,0.0029368541220658826,1.0550085050690343,1.8511336426922866e-6,0.13234973664426813
48,0.00270619987120333,0.9897588725744475,1.4147776460740705e-6,0.12823537354190934
49,0.0024945347124265657,0.9285447663530827,1.0838586505897577e-6,0.12430992541826935
50,0.0023001946295684358,0.871116599216794,8.318637765229473e-7,0.12056200121638067
51,0.002121673709247967,0.8172402203196298,6.390560542861044e-7,0.11698105567571238
52,0.0019576075584676654,0.7666959604587469,4.909000977542603e-7,0.11355731507485463
53,0.0018067586641867014,0.7192777364210705,3.7671661900509736e-7,0.11028171047043547
54,0.0016680034408545709,0.6747922107238705,2.88609776141832e-7,0.10714581757973494
55,0.00154032074863222,0.6330580033232759,2.2066416893484914e-7,0.1041418025620051
56,0.0014227816959792416,0.5939049520766437,1.6837451031581284e-7,0.1012623730461878
57,0.0013145405664271854,0.5571734189434768,1.2825576499856034e-7,0.09850073383276589
58,0.0012148267314943148,0.5227136390960762,9.758148519466509e-8,0.09585054676676263
59,0.0011229374304867056,0.49038511028606885,7.420683045461509e-8,0.09330589433898598
60,0.0010382313139201832,0.4600560199770863,5.644453407667718e-8,0.09086124662482925
61,0.0009601226609370356,0.43160270790785055,4.2973077125298135e-8,0.08851143121540068
62,0.000888076192754505,0.4049091618943869,3.276480185007555e-8,0.08625160583541482
63,0.0008216024141780865,0.37986654481560694,2.5027339366878532e-8,0.08407723337694008
64,0.0007602534238005011,0.3563727508536474,1.9155009839644863e-8,0.08198405910844238
65,0.0007036191409012752,0.3343319891796324,1.4688494559199038e-8,0.07996808984518311
66,0.0006513239034430977,0.31365439338742823,1.128174568781998e-8,0.0780255748904116
67,0.0006030233970798871,0.29425565508294116,8.675284706999465e-9,0.07615298857737172
68,0.0005584018798748446,0.27605668013500045,6.67505008152492e-9,0.07434701426028077
69,0.0005171696715814971,0.25898326618626094,5.135943088672636e-9,0.0726045296184502
70,0.00047906087995695866,0.24296580010925004,3.9492448870031635e-9,0.07092259315187867
71,0.0004438313397302431,0.22793897417399897,3.0331429263595328e-9,0.06929843175918286
72,0.00041125674260467673,0.21384151976999555,2.3256965754476913e-9,0.06772942929985133
73,0.00038113093908629633,0.20061595759676634,1.779674292095788e-9,0.0662131160526801
74,0.000353264395047002,0.18820836330454582,1.3587962985114063e-9,0.06474715899102898
75,0.0003274827877914503,0.17656814762948295,1.0350110689000331e-9,0.06332935280335789
76,0.00030362572803447393,0.16564785012693353,7.865177887872815e-10,0.0619576115944748
77,0.0002815455956402668,0.155402945661833,5.963187694610405e-10,0.06062996120915255
78,0.00026110647825070075,0.14579166286715323,4.511449445376591e-10,0.059344532125338
79,0.00024218320305931723,0.13677481383025003,3.4064412742001826e-10,0.05809955286915859
80,0.00022466045298842415,0.12831563431268264,2.567565483276538e-10,0.056893343908396614
81,0.00020843195941518935,0.12037963385203757,1.9322691659953099e-10,0.055724311985107536
82,0.00019339976438249943,0.11293445513457842,1.4521891964224083e-10,0.054590944851657525
83,0.0001794735459336005,0.10594974206534542,1.0900881533494241e-10,0.053491806377692366
84,0.00016657000083658972,0.09939701599778858,8.174151075408671e-11,0.05242553199846312
85,0.00015461227952463127,0.09324955961828775,6.123673950490801e-11,0.05139082447756137
86,0.00014352946857824645,0.08748230801212445,4.5835686922555446e-11,0.05038644995948574
87,0.00013325611652403752,0.08207174646675013,3.428030753729133e-11,0.04941123428960285
88,0.00012373179912573062,0.07699581459566637,2.5618991221757048e-11,0.04846405958100023
89,0.00011490072070369185,0.07223381639200276,1.913334949258805e-11,0.047543861009481346
90,0.0001067113483427749,0.06776633584505568,1.4281806477808281e-11,0.04664962381953909
91,9.911607613940239e-5,0.06357515777573264,1.0656442294986003e-11,0.04578038052558344
92,9.207091690090047e-5,0.05964319356812609,7.950182830318298e-12,0.044935208294005366
93,8.55352189462695e-5,0.05595441149440331,5.931981358515667e-12,0.043163155575275135
94,7.947140587064468e-5,0.05249377134892713,4.428108784982816e-12,0.037710342987787
95,7.384473732812878e-5,0.049247163125092745,3.308069572812831e-12,0.03294638562225814
96,6.862308906156098e-5,0.0462013494848482,2.4739953279812626e-12,0.028784260220652995
97,6.377675056511988e-5,0.04334391178633121,1.8526421536221743e-12,0.025147937195590893
98,5.92782389080901e-5,0.04066319944956115,1.3893363722451712e-12,0.021970991797093924
99,5.5102127377194264e-5,0.03814828245373624,1.0433824664869669e-12,0.01919539073099813
100,5.122488771195317e-5,0.03578890677245384,7.845746054823412e-13,0.016770432064174046
101,4.762474481374421e-5,0.0335754525651507,5.905469027131208e-13,0.014651819051794447
102,4.42815429057521e-5,0.03149889495429793,4.4476528536654655e-13,0.012800850968242461
103,4.1176622208660686e-5,0.029550767228428032,3.350123597474999e-13,0.011183716160559966
104,3.829270527670858e-5,0.02772312632096271,2.522515015084018e-13,0.009770874410636374
105,3.5613792211315726e-5,0.02600852042408849,1.8978184319030203e-13,0.008536517323741574
106,3.312506403558124e-5,0.024399958605633116,1.4261492341905928e-13,0.007458096886314788
107,3.081279357319197e-5,0.022890882305061953,1.0701855576252933e-13,0.006515913581169723
108,2.8664263230194622e-5,0.021475138592375584,8.018527424004978e-14,0.005692756536212157
109,2.666768912817893e-5,0.020146955080877608,5.999230197201079e-14,0.004973589133262955
110,2.4812151083156377e-5,0.018900916391524865,4.482782696277898e-14,0.004345274333999635
111,2.308752796617144e-5,0.01773194207289868,3.346472803272077e-14,0.0037963347055426553
112,2.148443801984104e-5,0.016635265886770462,2.4967963881556836e-14,0.0033167427620713376
113,1.9994183739903706e-5,0.015606416374803273,1.862577731677276e-14,0.002897737792637578
114,1.860870096274662e-5,0.014641198627154137,1.3897832753530818e-14,0.0025316658291691485
115,1.7320511829086787e-5,0.013735677178642644,1.037556170671029e-14,0.002211839831356449
116,1.6122681320684945e-5,0.012886159962748667,7.751501065511193e-15,0.001932417534418624
117,1.5008777091446166e-5,0.012089183258015099,5.7954273630211985e-15,0.0016882947283929088
118,1.3972832336678624e-5,0.01134149756547788,4.335754037417356e-15,0.0014750120194789178
119,1.300931146482369e-5,0.010640054359541583,3.2450803237627693e-15,0.0012886733702463732
120,1.2113078354807098e-5,0.009981993658280142,2.429047227807421e-15,0.0011258749306794257
121,1.1279366999438436e-5,0.009364632362483331,1.8178297034297616e-15,0.000983642860013518
122,1.050375435114142e-5,0.008785453315904017,1.359715784477981e-15,0.0008593790035556516
123,9.782135200834893e-6,0.008242095042101688,1.016317376648553e-15,0.0007508134321659747
124,9.11069893415598e-6,0.007732342116036508,7.590363875289188e-16,0.000655962977438912
125,8.485908021478829e-6,0.007254116131156147,5.664798140383151e-16,0.0005730950051455703
126,7.904478109448229e-6,0.00680546722514565,4.2257946258347983e-16,0.0005006957651865158
127,7.363359592116566e-6,0.00638456612978846,3.152264877627241e-16,0.0004374427399031892
128,6.859720549283117e-6,0.005989696712523596,2.352769976528952e-16,0.0003821804856342785
129,6.390930948400812e-6,0.005619248979288853,1.7582278053070083e-16,0.000333899526214512
130,5.954548014457796e-6,0.00527171251012059,1.316508981945266e-16,0.00029171791286319924
131,5.548302679660256e-6,0.004945670300745249,9.883839115485927e-17,0.0002548651136168114
132,5.170087031552793e-6,0.00463979298505299,7.444477404858215e-17,0.00022266793801370484
133,4.8179426844963786e-6,0.004352833414896861,5.627653769402136e-17,0.0001945382399170564
134,4.490050005196831e-6,0.004083621575117814,4.2705777591627874e-17,0.00016996217384335273
135,4.184718128301988e-6,0.003831059813062666,3.253031233207761e-17,0.000148490808541675
136,3.900375702987632e-6,0.0035941183631444376,2.4866083467482924e-17,0.00012973192636193585
137,3.6355623159679013e-6,0.0033718311481974127,1.9064896401243745e-17,0.0001133428586110445
138,3.3889205405296804e-6,0.0031632918405078646,1.4652087030573e-17,9.902422602037687e-5
139,3.15918856502837e-6,0.002967650166460168,1.1279784214914773e-17,8.651446998160655e-5
140,2.9451933578187087e-6,0.002784108439731288,8.692261249470231e-18,7.558507465292497e-5
141,2.7458443288566628e-6,0.0026119183088984975,6.7005444611020034e-18,6.60363926578164e-5
142,2.5601274512185112e-6,0.002450377706199415,5.163996191747604e-18,5.769399812438439e-5
143,2.3870998085596827e-6,0.002298827985003586,3.977075068649813e-18,5.040550044616164e-5
144,2.2258845370943254e-6,0.0021566512343242725,3.0598744784242462e-18,4.403776056133935e-5
145,2.0756661330439828e-6,0.002023267759420961,2.3513781674177786e-18,3.8474458900160254e-5
146,1.9356860986839805e-6,0.001898133718220293,1.8046446317480375e-18,3.361397057414538e-5
147,1.8052389021303814e-6,0.0017807389039184377,1.3833460807317044e-18,2.9367508993214332e-5
148,1.683668227870739e-6,0.0016706046647239504,1.059253575058515e-18,2.5657504000134086e-5
149,1.5703634967603745e-6,0.001567281952259327,8.103830446652231e-19,2.2416184895661577e-5
150,1.4647566357921559e-6,0.0014703494906640265,6.196050262291867e-19,1.9584342470485836e-5
151,1.3663190794132992e-6,0.0013794120589338882,4.735853892765971e-19,1.7110247429994513e-5
152,1.2745589855175996e-6,0.0012940988794935499,3.619655834393043e-19,1.4948705454718858e-5
153,1.1890186504948429e-6,0.0012140621064316251,2.7672112454431874e-19,1.3060231635236674e-5
154,1.1092721088722385e-6,0.0011389754072347463,2.1165571546531538e-19,1.14103292009271e-5
155,1.0349229041574718e-6,0.0010685326322378032,1.6200097315607273e-19,9.968859367108025e-6
156,9.656020184772336e-7,0.0010024465663653504,1.2409929098379455e-19,8.70949078954732e-6
157,9.009659495226597e-7,0.0009404477580746823,9.515335016206514e-20,7.609218569527806e-6
158,8.406949241574779e-7,0.0008822834207258418,7.302917001019934e-20,6.647944023126545e-6
159,7.844912388267232e-7,0.0008277164018991442,5.610191304168592e-20,5.808107538349566e-6
160,7.320777176292756e-7,0.000776524216457827,4.313595059611606e-20,5.0743678135195566e-6
161,6.831962795843434e-7,0.0007284981394133536,3.319228151482699e-20,4.433321617560847e-6
162,6.376066072449222e-7,0.0006834423548947244,2.5557299582903667e-20,3.87325895303994e-6
163,5.950849093812325e-7,0.0006411731577519036,1.9688357387022878e-20,3.383949149522344e-6
164,5.554227709910106e-7,0.0006015182045380735,1.5172401187900414e-20,2.9564539798108647e-6
165,5.184260843828542e-7,0.0005643158108167597,1.1694538290177792e-20,2.5829643852577606e-6
166,4.839140555346561e-7,0.0005294142919287494,9.01430902189229e-21,2.2566578276103634e-6
167,4.517182803504062e-7,0.000496671344530925,6.947760586095616e-21,1.9715736616348783e-6
168,4.2168188582804407e-7,0.0004659534663853697,5.353887304308965e-21,1.722504251948786e-6
169,3.936587315136595e-7,0.00043713541203306403,4.124422501352038e-21,1.5048998450919248e-6
170,3.6751266695031265e-7,0.00041009968213280047,3.176094939999093e-21,1.3147854591333884e-6
171,3.4311684114177933e-7,0.0003847360443832061,2.4447621914348564e-21,1.1486882726358462e-6
172,3.203530603368892e-7,0.00036094108407453774,1.8809584513558096e-21,1.0035741865907409e-6
173,2.991111907078302e-7,0.0003386177824377228,1.4464941775396978e-21,8.767924005005963e-7
174,2.7928860274165736e-7,0.00031767512107145485,1.1118722743388566e-21,7.660269901791542e-7
175,2.6078965439292573e-7,0.00029802771083448293,8.542963401804673e-22,6.692546027405206e-7
