k,md
330,6.933645925790064e-32
331,6.933645925790064e-32
332,6.933645925790064e-32
333,6.933645925790064e-32
334,6.933645925790064e-32
335,6.933645925790064e-32
336,6.933645925790064e-32
337,6.933645925790064e-32
338,6.933645925790064e-32
339,6.933645925790064e-32
340,6.933645925790064e-32
341,6.933645925790064e-32
342,6.933645925790064e-32
343,6.933645925790064e-32
344,6.933645925790064e-32
345,6.933645925790064e-32
346,6.933645925790064e-32
347,6.933645925790064e-32
348,6.933645925790064e-32
349,6.933645925790064e-32
350,6.933645925790064e-32
351,6.933645925790064e-32
352,6.933645925790064e-32
353,6.933645925790064e-32
354,6.933645925790064e-32
355,6.933645925790064e-32
356,6.933645925790064e-32
357,6.933645925790064e-32
358,6.933645925790064e-32
359,6.933645925790064e-32
360,6.933645925790064e-32
361,6.933645925790064e-32
362,6.933645925790064e-32
363,6.933645925790064e-32
364,6.933645925790064e-32
365,6.933645925790064e-32
366,6.933645925790064e-32
367,6.933645925790064e-32
368,6.933645925790064e-32
369,6.933645925790064e-32
370,6.933645925790064e-32
371,6.933645925790064e-32
372,6.933645925790064e-32
373,6.933645925790064e-32
374,6.933645925790064e-32
375,6.933645925790064e-32
376,6.933645925790064e-32
377,6.933645925790064e-32
378,6.933645925790064e-32
379,6.933645925790064e-32
380,6.933645925790064e-32
381,6.933645925790064e-32
382,6.933645925790064e-32
383,6.933645925790064e-32
384,6.933645925790064e-32
385,6.933645925790064e-32
386,6.933645925790064e-32
387,6.933645925790064e-32
388,6.933645925790064e-32
389,6.933645925790064e-32
390,6.933645925790064e-32
391,6.933645925790064e-32
392,6.933645925790064e-32
393,6.933645925790064e-32
394,6.933645925790064e-32
395,6.933645925790064e-32
396,6.933645925790064e-32
397,6.933645925790064e-32
398,6.933645925790064e-32
399,6.933645925790064e-32
400,6.933645925790064e-32
401,6.933645925790064e-32
402,6.933645925790064e-32
403,6.933645925790064e-32
404,6.933645925790064e-32
405,6.933645925790064e-32
406,6.933645925790064e-32
407,6.933645925790064e-32
408,6.933645925790064e-32
409,6.933645925790064e-32
410,6.933645925790064e-32
411,6.933645925790064e-32
412,6.933645925790064e-32
413,6.933645925790064e-32
414,6.933645925790064e-32
415,6.933645925790064e-32
416,6.933645925790064e-32
417,6.933645925790064e-32
418,6.933645925790064e-32
419,6.933645925790064e-32
420,6.933645925790064e-32
421,6.933645925790064e-32
422,6.933645925790064e-32
423,6.933645925790064e-32
