"X","F"
-1.0,2.8665928096634463
-0.9989994997498749,1.321783142764675
-0.9979989994997499,1.2861253452333414
-0.9969984992496248,1.2648516924891822
-0.9959979989994997,1.2494672326925365
-0.9949974987493747,1.237309740117602
-0.9939969984992496,1.2271933884336983
-0.9929964982491246,1.2184856217633717
-0.9919959979989995,1.2108088606186866
-0.9909954977488744,1.2039195584882192
-0.9899949974987494,1.197651423523837
-0.9889944972486243,1.1918858465186715
-0.9879939969984992,1.1865352508212113
-0.9869934967483742,1.181533129756993
-0.9859929964982491,1.1768277866367112
-0.984992496248124,1.1723782397182636
-0.983991995997999,1.1681514514863696
-0.9829914957478739,1.1641203993902478
-0.9819909954977488,1.1602626988633367
-0.9809904952476238,1.1565595991360076
-0.9799899949974987,1.152995236924666
-0.9789894947473737,1.1495560723968743
-0.9779889944972486,1.1462304564692878
-0.9769884942471235,1.1430082943692574
-0.9759879939969985,1.139880780852097
-0.9749874937468734,1.1368401895060882
-0.9739869934967483,1.1338797034056491
-0.9729864932466233,1.1309932777419907
-0.9719859929964982,1.128175527448268
-0.9709854927463731,1.125421634552982
-0.9699849924962481,1.1227272712460912
-0.968984492246123,1.1200885355646513
-0.967983991995998,1.11750189729269
-0.966983491745873,1.11496415218846
-0.9659829914957478,1.1124723830467458
-0.9649824912456229,1.1100239264068796
-0.9639819909954978,1.107616343951772
-0.9629814907453726,1.105247397826469
-0.9619809904952477,1.102915029248826
-0.9609804902451226,1.1006173398990158
-0.9599799899949975,1.0983525756656103
-0.9589794897448725,1.0961191123989655
-0.9579789894947474,1.0939154433815996
-0.9569784892446224,1.091740168273081
-0.9559779889944973,1.0895919833259713
-0.9549774887443722,1.0874696727014
-0.9539769884942472,1.0853721007392116
-0.9529764882441221,1.083298205059486
-0.951975987993997,1.0812469903903832
-0.950975487743872,1.079217523032437
-0.9499749874937469,1.0772089258821294
-0.9489744872436218,1.0752203739482833
-0.9479739869934968,1.0732510903038437
-0.9469734867433717,1.0713003424232757
-0.9459729864932466,1.069367438862326
-0.9449724862431216,1.0674517262424457
-0.9439719859929965,1.0655525865069344
-0.9429714857428715,1.063669434419943
-0.9419709854927464,1.0618017152829875
-0.9409704852426213,1.0599489028466644
-0.9399699849924963,1.0581104973978765
-0.9389694847423712,1.056286024005163
-0.9379689844922461,1.0544750309067044
-0.9369684842421211,1.0526770880273046
-0.935967983991996,1.0508917856121616
-0.9349674837418709,1.0491187329665592
-0.9339669834917459,1.0473575572917795
-0.9329664832416208,1.045607902608549
-0.9319659829914958,1.0438694287602386
-0.9309654827413707,1.0421418104888331
-0.9299649824912456,1.0404247365773815
-0.9289644822411206,1.038717909053276
-0.9279639819909955,1.0370210424472481
-0.9269634817408704,1.0353338631034767
-0.9259629814907454,1.0336561085366307
-0.9249624812406203,1.031987526832065
-0.9239619809904952,1.0303278760857473
-0.9229614807403702,1.0286769238807894
-0.9219609804902451,1.027034446797755
-0.92096048024012,1.0254002299561629
-0.919959979989995,1.0237740665848256
-0.9189594797398699,1.022155757618879
-0.9179589794897449,1.0205451113215354
-0.9169584792396198,1.018941942928763
-0.9159579789894947,1.0173460743152427
-0.9149574787393697,1.0157573336800936
-0.9139569784892446,1.0141755552509761
-0.9129564782391195,1.0126005790053025
-0.9119559779889945,1.0110322504073785
-0.9109554777388694,1.0094704201603957
-0.9099549774887443,1.0079149439722814
-0.9089544772386193,1.0063656823344849
-0.9079539769884942,1.0048225003128533
-0.9069534767383692,1.0032852673498112
-0.9059529764882441,1.0017538570771203
-0.904952476238119,1.0002281471385466
-0.903951975987994,0.9987080190218119
-0.9029514757378689,0.9971933578992532
-0.9019509754877438,0.9956840524766543
-0.9009504752376188,0.9941799948497506
-0.8999499749874937,0.992681080367946
-0.8989494747373686,0.9911872075048093
-0.8979489744872436,0.9896982777349514
-0.8969484742371185,0.9882141954169084
-0.8959479739869936,0.9867348676816822
-0.8949474737368684,0.9852602043266152
-0.8939469734867433,0.9837901177142954
-0.8929464732366184,0.9823245226762055
-0.8919459729864933,0.9808633364208565
-0.8909454727363681,0.9794064784461536
-0.8899449724862432,0.9779538704557631
-0.888944472236118,0.9765054362792656
-0.887943971985993,0.9750611017958882
-0.886943471735868,0.9736207948616282
-0.8859429714857429,0.9721844452395848
-0.8849424712356178,0.9707519845333367
-0.8839419709854928,0.9693233461232005
-0.8829414707353677,0.9678984651052268
-0.8819409704852427,0.9664772782327926
-0.8809404702351176,0.9650597238606563
-0.8799399699849925,0.9636457418913559
-0.8789394697348675,0.9622352737238298
-0.8779389694847424,0.9608282622041525
-0.8769384692346173,0.9594246515782816
-0.8759379689844923,0.9580243874467178
-0.8749374687343672,0.9566274167209844
-0.8739369684842421,0.9552336875818436
-0.8729364682341171,0.9538431494391614
-0.871935967983992,0.9524557528933486
-0.870935467733867,0.9510714496983017
-0.8699349674837419,0.9496901927257729
-0.8689344672336168,0.9483119359311089
-0.8679339669834918,0.9469366343202887
-0.8669334667333667,0.9455642439182077
-0.8659329664832416,0.9441947217381488
-0.8649324662331166,0.9428280257523884
