p1,p2,p3,T
0.05,0.5,0.44999999999999996,NC
0.1344552438297434,0.4083202909126889,0.4572244652575677,NC
0.2838003923295995,0.3844699561032978,0.33172965156710266,NC
0.34045240043270275,0.32109461468349276,0.3384529848838045,C
0.33466016777420926,0.33308965362694876,0.332250178598842,C
0.3346224965744386,0.33332994543249056,0.3320475579930708,C
0.3347210320435206,0.33332951187160426,0.3319494560848752,C
0.3348272317249349,0.3333289055450041,0.331843862730061,C
0.3349415715220316,0.3333282029871036,0.3317302254908648,C
0.33506467731189976,0.33332738895713715,0.33160793373096314,C
0.33519722344744485,0.33332644576929293,0.3314763307832622,C
0.33533993651540395,0.33332535293211135,0.3313347105524847,C
0.3354935994369075,0.33332408670353464,0.3311823138595579,C
0.33565905589812217,0.3333226195754159,0.3310183245264619,C
0.3358372151386899,0.33332091967633465,0.33084186518497544,C
0.33602905712817155,0.3333189500797893,0.33065199279203916,C
0.3362356381634171,0.3333166680028002,0.33044769383378275,C
0.3364580969227636,0.3333140238775951,0.33022787919964125,C
0.33669766101622195,0.3333109602763225,0.3299913787074555,C
0.336955654074389,0.3333074106655842,0.3297369352600268,C
0.337233503422738,0.3333032979639341,0.32946319861332785,C
0.3375327483922274,0.33329853287128025,0.3291687187364923,C
0.33785504932186117,0.3332930119342689,0.3288519387438699,C
0.3382021973139641,0.33328661530612,0.3285111873799158,C
0.3385761248085348,0.3332792041529188,0.3281446710385464,C
0.3389789170491426,0.3332706176509206,0.3277504652999368,C
0.3394128245194717,0.333260669510849,0.3273265059696794,C
0.3398802764368053,0.3332491439553121,0.3268705796078826,C
0.3403838953965179,0.3332357910641388,0.32638031353934327,C
0.34092651326998863,0.33322032138945956,0.32585316534055186,C
0.3415111884672742,0.333202399727498,0.3252864118052279,C
0.34214122468533514,0.3331816379170742,0.32467713739759063,C
0.34282019127253716,0.33315758651548916,0.3240222222119737,C
0.3435519453504204,0.3331297251805011,0.32331832946907857,C
0.3443406558441868,0.3330974515622518,0.3225618925935614,C
0.3451908295837139,0.33306006848098924,0.32174910193529693,C
0.3461073396468017,0.33301676913502826,0.32087589121817,C
0.34709545612527,0.33296662004840194,0.31993792382632813,C
0.3481608795017192,0.3329085414289887,0.31893057906929206,C
0.34930977682927017,0.33284128456557627,0.3178489386051536,C
0.35054882090710093,0.33276340584660075,0.3166877732462983,C
0.3518852326393227,0.33267323693470047,0.31544153042597683,C
0.35332682675140187,0.33256885058074237,0.3141043226678558,C
0.354882061013866,0.3324480215101694,0.3126699174759646,C
0.3565600890835016,0.33230818176579363,0.3111317291507047,C
0.35837081701251194,0.33214636984804086,0.3094828131394472,C
0.36032496338957903,0.33195917296115757,0.30771586364926334,C
0.3624341229550504,0.33174266165903454,0.30582321538591506,C
0.36471083336489846,0.3314923161966587,0.3037968504384428,C
0.36716864455133236,0.33120294394566624,0.3016284115030014,C
0.3698221898254239,0.3308685873420932,0.2993092228324829,C
0.37268725746860437,0.33048242202338396,0.2968303205080116,C
0.3757808610411122,0.3300366451083734,0.2941824938505144,C
0.37912130596793,0.3295223540137857,0.29135634001828437,C
0.38272824911412756,0.32892941682712395,0.28834233405874854,C
0.38662274699688015,0.3282463361199416,0.28513091688317826,C
0.39082728696577373,0.32746010924559177,0.2817126037886345,C
0.3953657940861203,0.32655608968373756,0.27807811623014206,C
0.4002636045644148,0.3255178559300429,0.2742185395055423,C
0.4055473943686021,0.32432709683036937,0.27012550880102854,C
0.4112450492702528,0.3229635251408709,0.26579142558887625,C
0.4173854599928215,0.3214048344186085,0.26120970558857,C
0.42399822371580564,0.3196267179790494,0.25637505830514495,C
0.43111323122996514,0.3176029723251234,0.25128379644491144,C
0.4387601181230115,0.3153057106920644,0.24593417118492406,C
0.44696755927896614,0.3127057144519067,0.24032672626912716,C
0.4557623897028903,0.3097729500915999,0.23446466020550982,C
0.4651685424065034,0.3064772760686343,0.2283541815248623,C
0.475205806982374,0.3027893556566556,0.22200483736097038,C
0.48588843142176563,0.29868177762062303,0.21542979095761133,C
0.49722361478106153,0.2941303654352518,0.20864601978368663,C
0.5092099681833212,0.28911562813051334,0.20167440368616546,C
0.5218360531080768,0.283624273831342,0.19453967306058123,C
0.5350791334865933,0.27765067501189644,0.18727019150151025,C
