p1,p2,p3
0.998501250748935,0.000998999501001874,0.000499749750063094
0.9984120639566086,0.0010584369179999567,0.0005294991253914014
0.9983175748779471,0.0011214066846773922,0.000561018437375463
0.9982174688983184,0.0011881182364893716,0.000594412865192212
0.9981114128108535,0.0012587933659796125,0.0006297938231669164
0.9979990537270758,0.0013336669443987747,0.0006672793285254675
0.9978800179248618,0.0014129876845341437,0.00070699439060405
0.9977539096302742,0.0014970189469871553,0.0007490714227386286
0.9976203097296348,0.0015860395922416553,0.0007936506781235648
0.9974787744080287,0.00168034488097501,0.0008408807109963111
0.997328833710245,0.0017802474251762573,0.0008909188645786876
0.9971699900199712,0.0018860781927499248,0.0009439317872788778
0.9970017164528595,0.0019981875684007186,0.0010000959787397714
0.9968234551588901,0.002116946473712368,0.0010595983673974837
0.9966346155292444,0.0022427475494531434,0.0011226369213024846
0.9964345723026986,0.002376006403259981,0.0011894212940414123
0.9962226635663363,0.00251716292597219,0.0012601735076915462
0.995998188645162,0.002666682680003195,0.0013351286748348192
0.9957604058749923,0.0028250583632536347,0.0014145357617541049
0.9955085302527822,0.002992811352179996,0.0014986583950378175
0.9952417309583388,0.0031704933277381183,0.0015877757139230934
0.9949591287411704,0.0033586879880186976,0.0016821832708108736
0.994659793166021,0.0035580128514798837,0.0017821939824990717
0.9943427397104544,0.003769121154757879,0.001888139134787728
0.9940069267076826,0.003992703849097149,0.0020003694432202037
0.9936512521276739,0.004229491699483877,0.002119256172842211
0.993274550189449,0.004480257490585994,0.0022451923199650154
0.9928755877973672,0.004745818343595748,0.002378593859037076
0.9924530607941356,0.005027038148031312,0.0025199010578330436
0.9920055900232483,0.005324830112476288,0.0026695798642754273
0.9915317171935791,0.005640159438113516,0.0028281233683073526
0.9910299005389417,0.005974046118734271,0.002996053342324041
0.990498510265572,0.006327567870667032,0.003173921863760961
0.9899358237807327,0.0067018631957611605,0.0033623130235060908
0.9893400206959659,0.007098134580168404,0.003561844723865658
0.9887091775989706,0.007517651831175874,0.003773170569853536
0.9880412625886617,0.007961755553742835,0.003996981857595514
0.9873341295687039,0.00843186076766286,0.004234009663633218
0.986585512295731,0.008929460665393402,0.004485027038875605
0.9857930181795864,0.009456130509543553,0.0047508513108700245
0.9849541218342903,0.01001353166776303,0.005032346497946651
0.9840661583800836,0.010603415781301882,0.005330425838614518
0.9831263164988671,0.011227629061778377,0.005646054439354564
0.9821316312476941,0.011888116708665242,0.005980252043640666
0.9810789766377324,0.012586927437639412,0.0063340959246282295
0.9799650579893634,0.01332621810719058,0.006708723903446023
0.9787864040778916,0.014108258427695303,0.007105337494413061
0.9775393590887801,0.0149354357334758,0.0075252051777441094
0.9762200744065026,0.01581025979410761,0.007969665799389788
0.9748245002671068,0.01673536763634177,0.008440132096551468
0.9733483773115346,0.017713528342378486,0.008938094346086951
0.9717872280847794,0.018747647783775457,0.00946512413144519
0.9701363485352149,0.019840773242886738,0.010022878221898353
0.9683907995790829,0.020996097865288582,0.0106131025556285
0.9665453988073478,0.022216964877025548,0.011237636315626652
0.9645947124261398,0.023506871489556852,0.011898416084303337
0.96253304753802,0.024869472402840865,0.012597480059139087
0.9603544448895875,0.026308582802891244,0.013336972307521212
0.9580526722317657,0.02782818073418422,0.014119147034050067
0.9556212184627693,0.029432408709294172,0.014946372827936566
0.9530532887505803,0.031125574397874355,0.015821136851545382
0.9503418008621012,0.03291215021436498,0.01674604892353384
0.9474793829603662,0.034796771598386345,0.0177238454412475
0.944458373169652,0.03678423375345,0.01875739307689802
0.9412708212514029,0.038879486578206675,0.01984969217039039
0.9379084927819291,0.041087627489789794,0.02100387972828109
0.9343628762761518,0.04341389180081231,0.022223231923035915
0.9306251937605081,0.04586364027021797,0.02351116596927391
0.9266864153625918,0.04844234340359436,0.024871241233813866
0.9225372785551587,0.05115556203101143,0.02630715941382991
0.9181683127674537,0.05400892364049236,0.02782276359205394
0.9135698701567616,0.0570080938937102,0.02942203594952819
0.9087321634165221,0.06015874269872682,0.031109093884751103
0.9036453115824981,0.06346650416440133,0.03288818425310061
0.8982993948827278,0.06693692971507216,0.03476367540220003
0.8926845197566148,0.07057543360574833,0.036740046637636886
0.8867908952384156,0.07438723005196232,0.03882187470962209
0.88060892195372,0.07837726118066125,0.041013816865618766
0.8741292950053032,0.08255011502673838,0.04332058996795839
0.8673431220154008,0.08690993285367554,0.0457469451309237
0.8602420575304546,0.09146030517813016,0.04829763729141527
0.8528184548637334,0.09620415604139243,0.05097738909487415
0.8450655362293286,0.10114361531211949,0.05379084845855195
0.8369775816825604,0.10627987914346777,0.056742539173971804
0.8285501368982516,0.11161305916412209,0.059836803937626276
0.8197802391588643,0.11714202157752121,0.06307773926361446
0.8106666600582322,0.12286421809590149,0.06646912184586633
0.8012101623257488,0.12877551155991213,0.07001432611433905
0.7914137668207532,0.13487000019560413,0.07371623298364272
0.7812830241328905,0.1411398457286105,0.07757713013849898
0.7708262833709221,0.14757511197809195,0.08159860465098598
0.7600549486842043,0.15416362202780945,0.08578142928798624
0.7489837119388518,0.16089084351711133,0.09012544454403684
0.737630747922766,0.16773981286418194,0.09462943921305211
0.7260178567029288,0.17469111013380695,0.09929103316326421
0.714170536590484,0.18172289655669732,0.10410656685281866
0.7021179709194193,0.18881102613684836,0.10907100294373234
0.6898929128663467,0.19592924109393672,0.11417784603971659
0.6775314551514671,0.20304945787931317,0.11941908696921977
0.6650726758796375,0.21014214608939846,0.12478517803096406
0.6525581580355232,0.21717679686745853,0.13026504509701828
0.640031388006786,0.2241224706493376,0.13584614134387635
0.6275370474337579,0.2309484069347397,0.14151454563150237
0.6151202218287147,0.23762467193737372,0.14725510623391155
0.6028255577013382,0.24412281440046227,0.15305162789819957
0.5906964062220845,0.25041649646047826,0.15888709731743722
0.5787739947343908,0.2564820659110421,0.16474393935456705
0.5670966670172246,0.26229903890882234,0.17060429407395306
0.555699228941832,0.26785046794908424,0.17645030310908377
0.5446124284828282,0.27312317820706267,0.18226439331010913
0.5338625888795223,0.2781078650862037,0.18802954603427396
0.5234714023916309,0.2827990558213331,0.193729541787036
0.513455880947538,0.28719494705993104,0.19934917199253094
0.5038284502832385,0.2912971375248512,0.20487441219191027
0.4945971668074762,0.2951102795576357,0.21029255363488808
0.4857660318471231,0.29864167538580716,0.21559229276706976
0.477335376128179,0.3019008435625784,0.2207637803092426
0.4693022879794925,0.304899078678945,0.22579863334156242
0.4616610612348738,0.30764902377175807,0.2306899149933681
0.45440364249823684,0.31016427048752254,0.23543208701424062
0.44752006170087044,0.31245899757130013,0.24002094072782942
0.44099883420186653,0.31454765406062873,0.2444535117375048
0.4348273266861066,0.3164446899531113,0.2487279833607821
0.4289920825671228,0.31816433422172513,0.25284358321115213
0.42347910539746525,0.31972041790117156,0.2568004767013632
0.41827410091478073,0.32112623851098393,0.2605996605742353
0.41336267985902403,0.322394461219749,0.264242858921227
0.40873052467218685,0.32353705177265374,0.2677324235551594
0.4043635237379007,0.3245652361832593,0.2710712400788401
0.4002478770347893,0.3254894824220806,0.27426264054313015
0.3963701770553281,0.3263194997280502,0.27731032321662175
0.3927174686578887,0.32706425165184116,0.28021827969027013
0.3892772912349353,0.3277319794579687,0.2829907293070959
0.38603770624171874,0.32833023302714553,0.28563206073113573
0.3829873127712597,0.3288659068862385,0.28814678034250174
0.38011525350635317,0.32934527943528574,0.29053946705836103
0.37741121304294556,0.32977405383194264,0.2928147331251118
0.3748654102704457,0.3301573993313344,0.29497719039821996
0.37246858621777024,0.33049999216510434,0.2970314216171254
0.3702119885304549,0.3308060552811384,0.29898195618840673
0.3680873535332282,0.3310793964599098,0.300833250006862
0.36608688665197725,0.3313234444799869,0.3025896688680358
0.36420324181630603,0.3315412831293598,0.30425547505433415
0.36242950033583515,0.33173568295596945,0.30583481670819546
0.36075914963694494,0.33190913072480577,0.30733171963824935
0.3591860621588584,0.3320638566042987,0.3087500812368429
0.35770447463606586,0.332201859145024,0.3100936662189102
0.3563089679356534,0.33232492814201803,0.3113661039223285
0.35499444757093584,0.3324346654907934,0.3125708869382707
0.35375612497503006,0.33253250415857355,0.3137113708663964
0.35258949958800573,0.3326197253980485,0.3147907750139458
0.3514903417876501,0.33269747433249014,0.3158121838798598
0.3504546766755023,0.33276677403947363,0.316778549285024
0.3494787687156919,0.3328285382566159,0.31769269302769215
0.348559107213431,0.3328835828273678,0.31855730995920123
0.34769239261209445,0.3329326359985126,0.3193749713893929
0.34687552358212204,0.3329763476740536,0.32014812874382437
0.34610558487103665,0.33301529772292626,0.32087911740603714
0.3453798358813172,0.3330500034306785,0.32157016068800437
0.3446956999414025,0.3330809261780976,0.32222337388049993
0.3440507542344736,0.33310847742283917,0.3228407683426872
0.34344272034968404,0.3331330240535135,0.32342425559680243
0.3428694554210067,0.33315489317946506,0.32397565139952816
0.34232894381973356,0.33317437641365666,0.3244966797666098
0.3418192893677759,0.33319173370066696,0.3249889769315572
0.34133870804021427,0.33320719673681787,0.32545409522296787
0.3408855211269535,0.3332209720248614,0.32589350684818513
0.34045814882481445,0.3332332436014569,0.3263086075737287
0.3400551042328999,0.33324417547184276,0.3267007202952574
0.3396749877255704,0.33325391378262237,0.32707109849180716
0.3393164816788504,0.3332625887604277,0.3274209295607219
0.33897834552752437,0.33327031644136407,0.32775133803111156
0.33865941113157766,0.3332772002135605,0.3280633886548618
0.33835857843197115,0.33328333219281725,0.3283580893752116
0.3380748113770134,0.3332887944492501,0.3286363941737366
0.3378071341018036,0.33329366010094186,0.3288992057972545
0.3375546273443618,0.3332979942889194,0.3291473783667188
0.33731642508314036,0.33330185504625226,0.3293817198706073
0.3370917113816243,0.333305294072709,0.3296029945456667
0.3368797174266796,0.33330835742518106,0.3298119251481394
0.3366797187481977,0.3333110861329951,0.3300091951188072
0.3364910326084178,0.33331351674625204,0.3301954506453301
0.33631301555008497,0.33331568182445764,0.3303713026254574
0.33614506109333014,0.3333176103719263,0.3305373285347436
0.33598659757183036,0.33331932822574006,0.3306940742024296
0.3358370860994426,0.33332085840142023,0.33084205549913714
0.3356960186590875,0.33332222140091067,0.33098175994000184
0.3355629163062078,0.33332343548697424,0.33111364820681793
0.33543732747963484,0.33332451692765885,0.3312381555927063
0.3353188264131693,0.3333254802140925,0.3313556933727383
0.3352070116416227,0.33332633825451347,0.33146665010386384
0.3351015045954771,0.3333271025471257,0.33157139285739723
0.335001948278701,0.3333277833340874,0.3316702683872116
0.33490800602461485,0.3333283897386901,0.3317636042366951
0.3348193603250307,0.3333289298875621,0.33185170978740725
0.33473571172819805,0.3333294110195294,0.33193487725227255
0.3346567778013736,0.3333298395825899,0.3320133826160365
0.33458229215410284,0.33333022132029827,0.3320874865255989
0.33451200351854593,0.33333056134871747,0.3321574351327366
0.33444567488341737,0.3333308642249654,0.33222346089161725
