"r","p1","p2","p3"
100.0,1.8199727760091513e-8,3.87354944702725e-8,0.999999936813515
84.97534359086443,6.018124044458847e-9,1.8941568331461813e-8,0.9999999729296742
72.20809018385464,1.2883935767700686e-8,3.916863758342795e-8,0.9999999427944655
61.35907273413173,1.101379073310533e-8,3.2268029157202374e-8,0.9999999510120753
52.14008287999685,5.593356877629151e-9,1.2166203069422172e-8,0.999999980248508
44.3062145758388,4.012718363224231e-9,1.2382262972169157e-8,0.9999999813103582
37.64935806792467,1.8478024986209674e-9,1.0486235705390231e-8,0.9999999850967479
31.992671377973828,1.6728723839194343e-9,8.311348083994207e-9,0.9999999876018011
27.1858824273294,1.9064455288450635e-9,9.894399747062563e-9,0.9999999845099803
23.101297000831593,5.337308639315373e-10,5.180027814911178e-9,0.999999992270723
19.630406500402714,8.117867106226937e-10,4.952368211897279e-9,0.9999999913225651
16.68100537200059,9.727973951682906e-10,4.622081150768126e-9,0.9999999912975824
14.174741629268055,1.0953662480507124e-9,2.1896706520030747e-9,0.9999999939116441
12.045035402587823,2.9945946984222505e-9,6.608414179886696e-9,0.9999999809980877
10.235310218990262,5.6502931305099465e-9,9.401310324206341e-9,0.9999999747723389
8.697490026177835,2.464330299204476e-7,5.764684684453562e-7,0.999999163672976
7.390722033525779,2.061193689282997e-6,4.181413064837801e-6,0.999993745673347
6.280291441834253,1.1029012926001599e-5,2.205186715508432e-5,0.9999669148664341
5.3366992312063095,4.542064782228456e-5,9.084551014012023e-5,0.9998637330092303
4.534878508128582,0.0001512626340412288,0.0003024645343440624,0.9995462664371781
3.8535285937105295,0.0004205297326721227,0.000840788200839375,0.9987386788955611
3.2745491628777286,0.0010034386214123892,0.0020049216525997436,0.9969916374954217
2.7825594022071245,0.0021035663348192143,0.0041983084897242,0.9936981195959919
2.3644894126454075,0.003952996522864807,0.007874494950886676,0.9881725083743645
2.0092330025650473,0.00677391815363198,0.013454727893910853,0.9797713497914474
1.7073526474706906,0.010740326120723991,0.021244926071935958,0.9680147442786677
1.4508287784959397,0.01595170447443224,0.03137802773679655,0.9526702639740141
1.2328467394420661,0.022423596938957686,0.04379558827241528,0.9337808128595523
1.0476157527896648,0.03009422678877652,0.05826504511164921,0.9116407266600882
0.8902150854450386,0.038841104436325616,0.07442237380840563,0.8867365173742434
0.7564633275546289,0.04850234109543884,0.09182403411617751,0.8596736228528425
0.6428073117284321,0.058896746364700825,0.10999831656289893,0.8311049368895965
0.5462277217684341,0.06984055525595094,0.12848747260299553,0.801671971272116
0.4641588833612779,0.0811595918644928,0.14687738056666977,0.7719630272048217
0.39442060594376555,0.09269643879991439,0.16481626495223015,0.7424872946978075
0.3351602650938842,0.10431410083391937,0.18202246263803196,0.7136634340072241
0.2848035868435802,0.11589671870091185,0.19828517593856376,0.6858181023984673
0.24201282647943823,0.12734872264409128,0.21345939716696855,0.6591918801442288
0.20565123083486514,0.13859259624150977,0.22745865163065732,0.6339487509005873
0.17475284000076838,0.1495666972476189,0.24024544478762094,0.6101878544094824
0.1484968262254465,0.1602227929306528,0.25182196305101384,0.5879552439446253
0.12618568830660204,0.17052385822021024,0.2622209070215399,0.5672552329562257
0.10722672220103231,0.18044227279419794,0.27149735732738917,0.5480603674308215
0.09111627561154892,0.18995815283363715,0.27972185089778967,0.5303199937709848
0.0774263682681127,0.1990586745041681,0.2869732416546413,0.513968078693772
0.0657933224657568,0.20773594758640096,0.2933364031586914,0.4989276471080537
0.05590810182512223,0.2159868798213034,0.29889669853065154,0.4851164177964476
0.047508101621027955,0.22381281433008868,0.3037370323969569,0.4724501494840268
0.040370172585965536,0.23121786065046332,0.30793757600101007,0.4608445614627931
0.034304692863149175,0.23821091780387088,0.3115700353186438,0.45021904565113263
0.029150530628251774,0.24480019438601686,0.3147057194302134,0.44049408418809094
0.024770763559917114,0.2509978573589934,0.3174062566907903,0.431595882823763
