p1,p2,p3
0.1794793493214853,0.236,0.5845206506785148
0.179,0.23641854398448467,0.5845814560155153
0.17837656098723587,0.237,0.5846234390127641
0.178,0.23736773078102683,0.5846322692189733
0.17739158650220394,0.238,0.584608413497796
0.177,0.23842694847592427,0.5845730515240757
0.176504458960111,0.239,0.584495541039889
0.176,0.23961339694911257,0.5843866030508875
0.1756993428502703,0.24,0.5843006571497297
0.175,0.24094785077701056,0.5840521492229894
0.17496351807656443,0.241,0.5840364819234356
0.17430635560971336,0.242,0.5836936443902867
0.174,0.24249531661274976,0.5835046833872504
0.173703552337928,0.243,0.583296447662072
0.17315449612102154,0.244,0.5828455038789785
0.173,0.24430405372977126,0.5826959462702287
0.1726636507834457,0.245,0.5823363492165543
0.17221801542610352,0.246,0.5817819845738965
0.172,0.24653722644293083,0.5814627735570692
0.1718211181118749,0.247,0.581178881888125
0.1714743161817826,0.248,0.5805256838182173
0.17116584285518355,0.249,0.5798341571448165
0.171,0.24962090534311315,0.5793790946568869
0.17090348838997574,0.25,0.5790965116100243
0.17069050477867384,0.251,0.5783094952213261
0.17051853001614964,0.252,0.5774814699838504
0.1703892233094107,0.253,0.5766107766905894
0.17030434895345634,0.254,0.5756956510465436
0.1702657846540173,0.255,0.5747342153459827
0.1702755306559789,0.256,0.5737244693440211
0.17033571976992715,0.257,0.5726642802300729
0.17044862840160124,0.258,0.5715513715983987
0.17061668870323413,0.259,0.5703833112967659
0.17084250198216916,0.26,0.5691574980178309
0.171,0.2605540958875167,0.5684459041124832
0.17113885274348928,0.261,0.5678611472565107
0.1715165749972479,0.262,0.5664834250027521
0.17196746593704587,0.263,0.5650325340629542
0.172,0.26306270022655454,0.5649372997734455
0.17253978674154447,0.264,0.5634602132584555
0.173,0.2646951299605309,0.562304870039469
0.17322669245134487,0.265,0.5617733075486552
0.174,0.2659202586133984,0.5600797413866017
0.17407639338499087,0.266,0.5599236066150091
0.175,0.26686456735803665,0.5581354326419633
0.1751681874550538,0.267,0.5578318125449462
0.176,0.26760715323064244,0.5563928467693576
